,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(empego).32,2.4509334490316648,0.3281255989540983,1.9040047729724852,2.22194952521579,2.4161129457354362,2.6387710644710727,3.2207142069633727,0.011317975688941287
t,0.6067966369910115,0.023807627158040832,0.5615673243130418,0.5908147791606095,0.605886930327646,0.6224934602872967,0.6553183626585122,0.0006951870888268961
t_std,0.12151758494940876,0.017947688421777894,0.09128208955916636,0.10885472302540886,0.11989035359231927,0.1320171857560179,0.16150290025887643,0.00043037742554597765
t_subj.0,0.6378419560127966,0.041121560264103345,0.5550441944506782,0.6107200998195924,0.6377346829805169,0.6664257428888448,0.7155535371542326,0.0016662503137255685
t_subj.1,0.6794644220322743,0.03679632592863717,0.6032067258778376,0.6552554904274666,0.6809344939117109,0.7043800997568478,0.7488267168217317,0.0015188635362294307
t_subj.2,0.46622370170033567,0.030871954386828843,0.40474744517383354,0.4462441426628847,0.4663645647474596,0.4860780656334172,0.5269465867278984,0.0012745356986247718
t_subj.4,0.6711428682313431,0.04250248290588993,0.5850271139270972,0.643086170747094,0.6728592262588285,0.7001428411554355,0.7497798334276751,0.0016629647912035806
t_subj.5,0.557101639736317,0.020410470493608432,0.513705750567221,0.5443654189028366,0.5579208225320773,0.5709803578282161,0.5954666348599297,0.0008740571119406433
t_subj.6,0.583244132652588,0.027050471200406608,0.5270397994934348,0.5659479529671265,0.5844679487046219,0.6019432748239221,0.6327870653034676,0.0008533520737121026
t_subj.7,0.5958588576706172,0.02125631967848503,0.5501886519948175,0.5822257748819126,0.5968800909343329,0.6102440615310201,0.6351390301664935,0.0005812386230917687
t_subj.8,0.5949792363603398,0.03110959825912558,0.531142168169826,0.5746469320935936,0.5967412620553052,0.6167192543522303,0.6531847783513465,0.0008036509195390283
t_subj.9,0.943847158853954,0.029612556519678673,0.8772819708251643,0.9249716356703634,0.9469831899200768,0.9648282686071152,0.99437231455092,0.0009157997267456458
t_subj.10,0.7248513021774894,0.04314386901339755,0.6393275584813255,0.6939373763605517,0.7251401236781618,0.7582531411516267,0.8017738442290597,0.0012857342163209947
t_subj.11,0.608407069089963,0.019623485148572095,0.5673679101290214,0.5951857414066297,0.6091986839817263,0.6218478207814159,0.6440016629085694,0.0006397316785938396
t_subj.12,0.5688121296453836,0.030847296483919144,0.5026304284033409,0.5489107106522739,0.570473657687545,0.5907653204417702,0.6226688155224396,0.0012710550329196487
t_subj.13,0.7047637599111027,0.02564599057908384,0.6493009035331792,0.6887261936381341,0.7054006402371833,0.7226198675560028,0.7510939694452021,0.0010733127044319523
t_subj.14,0.5054712966257873,0.026138138896791806,0.45050697343678275,0.48866218857990196,0.5070336362546336,0.5237935684136503,0.553186646224624,0.0008823704927990427
t_subj.15,0.5904590553337655,0.02593748548202118,0.5349314899742084,0.5749375255938494,0.5919452160622637,0.6082575256036177,0.6365548952193393,0.0007048960004835198
